前缀	下注金额	赢奖损失(公司)	jackpot抽水
lis	166	45.75	3.32
999	532	-77.25	10.64
p58	8280	534.75	165.6
y68	1464	195	29.28
ttb	29540	1401.25	590.8
j70	2	-0.5	0.04
zwns	6426	-1296.5	128.52
kts	2284	272.25	45.68
3368	1118	52.75	22.36
can	3334	398.75	66.68
xtd	988	-935.75	19.76
b58	770	-351.5	15.4
911	2	-3	0.04
xg8	638	192.5	12.76
jjj	76	22.5	1.52
bb3	30	17.25	0.6
b66	306	-121	6.12
vip	236	50.25	4.72
ttt	1830	-169.25	36.6
v99	2670	10.75	53.4
jss	324	177	6.48
bb6	34	11	0.68
vnc	150	98.25	3
555	1228	322.25	24.56
btt	542	80	10.84
b86	142	60.75	2.84
x88	82	-177.25	1.64
66s	1264	462.75	25.28
b38	238	-11.25	4.76
js2	52	-20.5	1.04
222	46	19	0.92
ylg	286	-39	5.72
t30	836	279.5	16.72

total	65916	1501.5	1318.32
